id,wb_code
1,ALB
2,DZA
3,AGO
4,ARG
5,ARM
6,AUS
7,AUT
8,BLR
9,BEL
10,BEN
11,BMU
12,BOL
13,BIH
14,BWA
15,BRA
16,BGR
17,BFA
18,CMR
19,CAN
20,CPV
21,CHL
22,CHN
23,COL
24,COG
25,ZAR
26,CRI
27,HRV
28,CZR
29,CIV
30,ZAR
31,DNK
32,ECU
33,EGY
34,SLV
35,ENG
36,EST
37,FIN
38,FRA
39,GAB
40,GEO
41,DEU
42,GHA
43,GUI
44,GRC
45,GRD
46,GTM
47,GUI
48,HTI
49,HND
50,HUN
51,ISL
52,IRN
53,IRL
54,ISR
55,ITA
56,CIV
57,JAM
58,JPN
59,KEN
60,LVA
61,LTU
62,LUX
63,MKD
64,MLI
65,MEX
66,YUG
67,MAR
68,MOZ
69,NAM
70,NLD
71,NLD
72,NZL
73,NGA
74,NIR
75,NOR
76,PAN
77,PRY
78,PER
79,POL
80,PRT
81,QAT
82,ROM
83,RUS
84,VCT
85,SCO
86,SEN
87,YUG
88,YUG
89,SLE
90,SVK
91,SVN
92,ZAF
93,KOR
94,ESP
95,SUR
96,SWE
97,CHE
98,TGO
99,TTO
100,TUN
101,TUR
102,UGA
103,UKR
104,USA
105,URY
106,UZB
107,VEN
108,WAL
109,YUG
110,ZMB
111,ZWE
